,external_gene_name
3192,ETV5
3193,CHCHD10
3284,FYN
3285,PHPT1
3286,SLC12A2
3287,FGFR2
3288,NDST1
3289,IGF2BP2
3290,HTATSF1
3291,COTL1
3292,HNRNPUL1
3293,PSMD11
3294,DTX4
3295,SRSF9
3296,TFDP2
3297,WNT5A
3298,SF3B1
3299,RAD23B
3300,TCP1
3301,RALY
3302,AMOT
3303,AFDN
3304,NES
3305,WASF3
3306,PIK3C2B
3307,FAM60A
3308,TCF12
3309,RHBDL3
3310,TP53
3311,ANAPC11
3312,ZNF462
3313,DIXDC1
3314,DST
3315,TSPAN18
3316,DPYSL5
3317,EPB41
3318,LY6E
3319,FUBP1
3320,PKDCC
3321,MAPKAPK2
3322,HNRNPK
3323,CRABP1
3324,RCOR2
3325,ZEB2
3326,HOXD4
3327,IGDCC3
3328,CKAP5
3329,LRRN1
3330,NEUROG2
3331,COX5A
3332,CDC42EP4
3333,ARL6IP4
3334,MT1X
3335,MAPK12
3336,GREB1
3337,LGR4
3338,ITSN1
3339,AKAP2
3396,PHLDB1
3397,CNN2
3398,EML1
3399,CELSR1
3400,RARB
3401,EPB41L2
3402,LRP2
3403,NDUFB2
3404,PSMB5
3405,CDC25B
3406,EMD
3407,METRN
3408,SNRNP70
3409,GARS
3410,TLE4
3411,PDLIM1
3412,SLC15A3
3413,CNOT2
3414,MDGA1
3415,TNNC1
3416,EFEMP1
3417,IGFBP2
3418,MYCL
3419,PRDX6
3420,NRP2
3421,CCND2
3422,CLU
3423,FAM117A
3424,AHNAK
3425,MPDU1
3426,AJUBA
3427,ACTN4
3428,WNT2B
3429,PPP1R1A
3430,MYOF
3431,SHROOM3
3432,TPM1
3433,EIF4A3
3434,SLC44A3
3435,RGS5
3436,CRABP2
3437,RGS16
3438,CAMK2D
3439,VLDLR
3440,PRSS23
3441,SKI
3442,CCAR2
3443,ASRGL1
3444,CAMK2N1
3445,FSTL1
3446,PLXNB1
3447,BAALC
3448,PCDH19
3449,PCBD1
3450,NAV2
3451,CA4
3452,UBB
3453,IRX2
3454,BCL2L1
3455,COL18A1
3456,ZNF703
3457,KIRREL
3458,DIABLO
3459,SESTD1
3460,TPM2
3461,ZBED1
3462,DDX3X
3463,FAM19A5
3464,HNF1B
